mcneibo01,Bob McNeill,1961-1962,0,,,
millebo01,Bob Miller,1984,0,,,
mullebo01,Bob Mullens,1947,0,,,
naberbo01,Bob Naber,1953,0,,,
nashbo01,Bob Nash,1973-1979,0,,,
netolbo01,Bob Netolicky,1968-1976,0,,,
obriebo01,Bob O'Brien,1948-1949,0,,,
peterbo01,Bob Peterson,1954-1956,0,,,
pettibo01,Bob Pettit,1955-1965,0,,,
portmbo01,Bob Portman,1970-1973,0,,,
priddbo01,Bob Priddy,1953,0,,,
quickbo01,Bob Quick,1969-1972,0,,,
rensbro01,Bob Rensberger,1947,0,,,
riedybo01,Bob Riedy,1968,0,,,
rileybo01,Bob Riley,1971,0,,,
royerbo01,Bob Royer,1950,0,,,
rulebo01,Bob Rule,1968-1975,0,,,
santibo01,Bob Santini,1956,0,,,
schafbo01,Bob Schafer,1956-1957,0,,,
sheabo01,Bob Shea,1947,0,,,
simsbo01,Bob Sims,1962-1968,0,,,
surabo01,Bob Sura,1996-2005,0,,,
thornbo01,Bob Thornton,1986-1996,0,,,
toughbo01,Bob Tough,1949-1950,0,,,
vergabo01,Bob Verga,1968-1974,0,,,
warlibo01,Bob Warlick,1966-1970,0,,,
warrebo01,Bob Warren,1969-1976,0,,,
weissbo01,Bob Weiss,1966-1977,0,,,
wiesebo01,Bob Wiesenhahn,1962,0,,,
wilkebo01,Bob Wilkerson,1977-1983,0,,,
willibo01,Bob Williams,1956-1957,0,,,
wilsobo01,Bob Wilson,1952,0,,,
woodbo01,Bob Wood,1950,0,,,
woollbo01,Bob Woollard,1970,0,,,
marjabo01,Boban Marjanovic,2016-2018,1,,,
brownbo02,Bobby Brown,2009-2018,1,,,
cattabo01,Bobby Cattage,1982-1986,0,,,
cookbo01,Bobby Cook,1950,0,,,
croftbo01,Bobby Croft,1971,0,,,
edmonbo01,Bobby Edmonds,1968-1970,0,,,
fieldbo01,Bobby Fields,1972,0,,,
hoopebo01,Bobby Hooper,1969,0,,,
hurlebo01,Bobby Hurley,1994-1998,0,,,
jacksbo01,Bobby Jackson,1998-2009,0,,,
jonesbo02,Bobby Jones,2007-2008,0,,,
jonesbo01,Bobby Jones,1975-1986,0,,,
lewisbo01,Bobby Lewis,1968-1971,0,,,
lloydbo01,Bobby Lloyd,1968-1969,0,,,
phillbo01,Bobby Phills,1992-2000,0,,,
portibo01,Bobby Portis,2016-2018,1,,,
rascobo01,Bobby Rascoe,1968-1970,0,,,
simmobo01,Bobby Simmons,2002-2012,0,,,
